"cve_ent_mun","fecha","confirmados","decesos","pruebas","indice_vulnerabilidad"
"20001","30/06/2020",2,1,2,"vulnerabilidad media"
"20002","30/06/2020",24,4,41,"vulnerabilidad alta"
"20003","30/06/2020",1,0,1,"vulnerabilidad media"
"20004","30/06/2020",1,0,1,"vulnerabilidad alta"
"20005","30/06/2020",5,0,11,"vulnerabilidad baja"
"20006","30/06/2020",37,1,113,"vulnerabilidad media"
"20007","30/06/2020",0,0,1,"vulnerabilidad muy alta"
"20008","30/06/2020",0,0,0,"vulnerabilidad baja"
"20009","30/06/2020",0,0,1,"vulnerabilidad media"
"20010","30/06/2020",9,1,18,"vulnerabilidad baja"
"20011","30/06/2020",1,0,2,"vulnerabilidad media"
"20012","30/06/2020",2,0,3,"vulnerabilidad media"
"20013","30/06/2020",1,0,3,"vulnerabilidad baja"
"20014","30/06/2020",17,5,37,"vulnerabilidad baja"
"20015","30/06/2020",0,0,0,"vulnerabilidad media"
"20016","30/06/2020",1,1,1,"vulnerabilidad media"
"20017","30/06/2020",0,0,0,"vulnerabilidad media"
"20018","30/06/2020",0,0,0,"vulnerabilidad alta"
"20019","30/06/2020",0,0,1,"vulnerabilidad media"
"20020","30/06/2020",4,0,8,"vulnerabilidad alta"
"20021","30/06/2020",20,2,32,"vulnerabilidad media"
"20022","30/06/2020",0,0,0,"vulnerabilidad alta"
"20023","30/06/2020",40,2,69,"vulnerabilidad muy alta"
"20024","30/06/2020",0,0,1,"vulnerabilidad alta"
"20025","30/06/2020",6,0,7,"vulnerabilidad muy alta"
"20026","30/06/2020",6,1,26,"vulnerabilidad media"
"20027","30/06/2020",2,0,2,"vulnerabilidad media"
"20028","30/06/2020",12,0,14,"vulnerabilidad media"
"20029","30/06/2020",0,0,1,"vulnerabilidad media"
"20030","30/06/2020",6,2,8,"sin vulnerabilidad"
"20031","30/06/2020",8,1,18,"vulnerabilidad media"
"20032","30/06/2020",0,0,0,"vulnerabilidad alta"
"20033","30/06/2020",9,3,14,"vulnerabilidad alta"
"20034","30/06/2020",0,0,0,"vulnerabilidad media"
"20035","30/06/2020",0,0,0,"vulnerabilidad baja"
"20036","30/06/2020",0,0,2,"vulnerabilidad media"
"20037","30/06/2020",1,0,2,"vulnerabilidad media"
"20038","30/06/2020",0,0,0,"vulnerabilidad media"
"20039","30/06/2020",132,14,324,"vulnerabilidad alta"
"20040","30/06/2020",0,0,0,"vulnerabilidad alta"
"20041","30/06/2020",8,1,27,"vulnerabilidad alta"
"20042","30/06/2020",3,1,8,"vulnerabilidad media"
"20043","30/06/2020",52,13,123,"vulnerabilidad media"
"20044","30/06/2020",20,3,56,"vulnerabilidad baja"
"20045","30/06/2020",25,3,43,"vulnerabilidad media"
"20046","30/06/2020",1,1,1,"vulnerabilidad media"
"20047","30/06/2020",0,0,0,"vulnerabilidad baja"
"20048","30/06/2020",0,0,0,"vulnerabilidad media"
"20049","30/06/2020",1,0,1,"vulnerabilidad alta"
"20050","30/06/2020",0,0,0,"vulnerabilidad media"
"20051","30/06/2020",2,1,3,"vulnerabilidad alta"
"20052","30/06/2020",1,0,2,"vulnerabilidad baja"
"20053","30/06/2020",0,0,0,"vulnerabilidad baja"
"20054","30/06/2020",0,0,2,"vulnerabilidad baja"
"20055","30/06/2020",0,0,1,"vulnerabilidad baja"
"20056","30/06/2020",0,0,0,"vulnerabilidad media"
"20057","30/06/2020",22,2,50,"No Disponible"
"20058","30/06/2020",1,0,1,"vulnerabilidad media"
"20059","30/06/2020",40,7,55,"vulnerabilidad alta"
"20060","30/06/2020",0,0,1,"vulnerabilidad media"
"20061","30/06/2020",0,0,1,"vulnerabilidad media"
"20062","30/06/2020",0,0,0,"vulnerabilidad baja"
"20063","30/06/2020",18,4,27,"vulnerabilidad alta"
"20064","30/06/2020",1,0,7,"vulnerabilidad baja"
"20065","30/06/2020",0,0,2,"vulnerabilidad alta"
"20066","30/06/2020",0,0,0,"vulnerabilidad baja"
"20067","30/06/2020",1404,124,2360,"vulnerabilidad alta"
"20068","30/06/2020",51,5,70,"vulnerabilidad alta"
"20069","30/06/2020",1,0,1,"vulnerabilidad media"
"20070","30/06/2020",2,0,4,"vulnerabilidad media"
"20071","30/06/2020",0,0,1,"vulnerabilidad media"
"20072","30/06/2020",4,0,4,"vulnerabilidad media"
"20073","30/06/2020",30,1,100,"vulnerabilidad media"
"20074","30/06/2020",0,0,0,"vulnerabilidad baja"
