"cve_ent_mun","fecha","confirmados","decesos","pruebas","indice_vulnerabilidad"
"20346","30/06/2020",0,0,0,"vulnerabilidad media"
"20347","30/06/2020",0,0,0,"vulnerabilidad media"
"20348","30/06/2020",1,0,1,"vulnerabilidad alta"
"20349","30/06/2020",2,0,2,"vulnerabilidad alta"
"20350","30/06/2020",79,5,131,"vulnerabilidad alta"
"20351","30/06/2020",0,0,0,"vulnerabilidad media"
"20352","30/06/2020",0,0,0,"vulnerabilidad alta"
"20353","30/06/2020",0,0,0,"vulnerabilidad media"
"20354","30/06/2020",0,0,0,"vulnerabilidad media"
"20355","30/06/2020",0,0,0,"vulnerabilidad media"
"20356","30/06/2020",0,0,0,"vulnerabilidad media"
"20357","30/06/2020",0,0,1,"vulnerabilidad media"
"20358","30/06/2020",2,1,3,"vulnerabilidad media"
"20359","30/06/2020",0,0,2,"vulnerabilidad alta"
"20360","30/06/2020",5,1,5,"vulnerabilidad alta"
"20361","30/06/2020",0,0,0,"vulnerabilidad media"
"20362","30/06/2020",1,0,1,"vulnerabilidad alta"
"20363","30/06/2020",1,0,2,"vulnerabilidad media"
"20364","30/06/2020",2,1,6,"vulnerabilidad media"
"20365","30/06/2020",0,0,0,"vulnerabilidad media"
"20366","30/06/2020",2,0,2,"vulnerabilidad media"
"20367","30/06/2020",3,1,4,"vulnerabilidad alta"
"20368","30/06/2020",1,0,2,"vulnerabilidad alta"
"20369","30/06/2020",2,0,3,"vulnerabilidad baja"
"20370","30/06/2020",0,0,0,"vulnerabilidad media"
"20371","30/06/2020",0,0,0,"vulnerabilidad media"
"20372","30/06/2020",0,0,0,"vulnerabilidad media"
"20373","30/06/2020",0,0,0,"vulnerabilidad media"
"20374","30/06/2020",0,0,0,"vulnerabilidad media"
"20375","30/06/2020",33,5,65,"vulnerabilidad alta"
"20376","30/06/2020",0,0,0,"vulnerabilidad baja"
"20377","30/06/2020",0,0,0,"vulnerabilidad media"
"20378","30/06/2020",1,0,2,"vulnerabilidad media"
"20379","30/06/2020",0,0,0,"vulnerabilidad media"
"20380","30/06/2020",1,0,2,"vulnerabilidad media"
"20381","30/06/2020",1,0,1,"vulnerabilidad baja"
"20382","30/06/2020",0,0,0,"vulnerabilidad media"
"20383","30/06/2020",0,0,0,"vulnerabilidad alta"
"20384","30/06/2020",0,0,0,"vulnerabilidad alta"
"20385","30/06/2020",399,37,672,"vulnerabilidad muy alta"
"20386","30/06/2020",0,0,3,"vulnerabilidad media"
"20387","30/06/2020",1,1,1,"vulnerabilidad media"
"20388","30/06/2020",0,0,0,"vulnerabilidad media"
"20389","30/06/2020",0,0,1,"vulnerabilidad muy alta"
"20390","30/06/2020",229,19,353,"vulnerabilidad alta"
"20391","30/06/2020",0,0,0,"vulnerabilidad media"
"20392","30/06/2020",0,0,1,"vulnerabilidad media"
"20393","30/06/2020",9,0,11,"vulnerabilidad alta"
"20394","30/06/2020",1,1,3,"vulnerabilidad media"
"20395","30/06/2020",0,0,0,"vulnerabilidad media"
"20396","30/06/2020",0,0,0,"vulnerabilidad alta"
"20397","30/06/2020",16,2,44,"vulnerabilidad alta"
"20398","30/06/2020",1,0,3,"vulnerabilidad media"
"20399","30/06/2020",164,14,237,"vulnerabilidad muy alta"
"20400","30/06/2020",0,0,0,"vulnerabilidad baja"
"20401","30/06/2020",12,2,17,"vulnerabilidad baja"
"20402","30/06/2020",1,0,1,"vulnerabilidad baja"
"20403","30/06/2020",16,1,24,"vulnerabilidad alta"
"20404","30/06/2020",0,0,0,"vulnerabilidad alta"
"20405","30/06/2020",0,0,0,"vulnerabilidad baja"
"20406","30/06/2020",1,0,2,"vulnerabilidad alta"
"20407","30/06/2020",1,0,2,"No Disponible"
"20408","30/06/2020",0,0,0,"vulnerabilidad media"
"20409","30/06/2020",30,5,57,"vulnerabilidad alta"
"20410","30/06/2020",0,0,2,"vulnerabilidad media"
"20411","30/06/2020",0,0,0,"vulnerabilidad alta"
"20412","30/06/2020",0,0,0,"vulnerabilidad media"
"20413","30/06/2020",22,3,73,"vulnerabilidad baja"
"20414","30/06/2020",1,1,2,"vulnerabilidad media"
"20415","30/06/2020",2,0,5,"vulnerabilidad media"
"20416","30/06/2020",0,0,0,"vulnerabilidad media"
"20417","30/06/2020",1,1,3,"vulnerabilidad media"
"20418","30/06/2020",6,0,15,"vulnerabilidad baja"
"20419","30/06/2020",0,0,1,"vulnerabilidad baja"
"20420","30/06/2020",0,0,0,"vulnerabilidad media"
"20421","30/06/2020",0,0,3,"vulnerabilidad baja"
"20422","30/06/2020",0,0,0,"vulnerabilidad media"
"20423","30/06/2020",0,0,0,"vulnerabilidad baja"
"20424","30/06/2020",0,0,0,"vulnerabilidad media"
"20425","30/06/2020",1,0,2,"vulnerabilidad media"
"20426","30/06/2020",0,0,3,"vulnerabilidad media"
"20427","30/06/2020",3,1,5,"No Disponible"
"20428","30/06/2020",0,0,0,"vulnerabilidad baja"
"20429","30/06/2020",0,0,0,"vulnerabilidad media"
"20430","30/06/2020",0,0,0,"vulnerabilidad media"
"20431","30/06/2020",1,0,3,"vulnerabilidad media"
"20432","30/06/2020",0,0,0,"vulnerabilidad media"
"20433","30/06/2020",0,0,0,"vulnerabilidad media"
"20434","30/06/2020",1,0,2,"vulnerabilidad media"
"20435","30/06/2020",0,0,0,"vulnerabilidad media"
"20436","30/06/2020",0,0,0,"vulnerabilidad media"
"20437","30/06/2020",2,0,8,"vulnerabilidad media"
"20438","30/06/2020",0,0,0,"vulnerabilidad media"
"20439","30/06/2020",1,0,6,"vulnerabilidad media"
"20440","30/06/2020",0,0,0,"sin vulnerabilidad"
"20441","30/06/2020",0,0,1,"vulnerabilidad baja"
"20442","30/06/2020",0,0,0,"vulnerabilidad baja"
"20443","30/06/2020",0,0,0,"vulnerabilidad media"
"20444","30/06/2020",0,0,0,"vulnerabilidad alta"
"20445","30/06/2020",1,0,1,"vulnerabilidad media"
"20446","30/06/2020",0,0,0,"vulnerabilidad media"
"20447","30/06/2020",0,0,6,"vulnerabilidad baja"
"20448","30/06/2020",0,0,0,"vulnerabilidad media"
"20449","30/06/2020",0,0,0,"vulnerabilidad alta"
"20450","30/06/2020",2,0,3,"vulnerabilidad media"
"20451","30/06/2020",0,0,0,"vulnerabilidad media"
"20452","30/06/2020",0,0,0,"vulnerabilidad alta"
"20453","30/06/2020",1,0,3,"vulnerabilidad baja"
"20454","30/06/2020",0,0,0,"vulnerabilidad media"
"20455","30/06/2020",0,0,0,"vulnerabilidad alta"
"20456","30/06/2020",1,0,5,"vulnerabilidad media"
"20457","30/06/2020",1,0,3,"vulnerabilidad alta"
"20458","30/06/2020",0,0,1,"vulnerabilidad media"
"20459","30/06/2020",2,0,4,"vulnerabilidad baja"
"20460","30/06/2020",13,0,18,"vulnerabilidad media"
"20461","30/06/2020",0,0,0,"vulnerabilidad alta"
"20462","30/06/2020",6,1,15,"vulnerabilidad media"
"20463","30/06/2020",0,0,1,"vulnerabilidad alta"
"20464","30/06/2020",0,0,0,"vulnerabilidad alta"
"20465","30/06/2020",1,1,1,"vulnerabilidad baja"
"20466","30/06/2020",0,0,0,"vulnerabilidad media"
"20467","30/06/2020",8,1,21,"vulnerabilidad alta"
"20468","30/06/2020",0,0,1,"vulnerabilidad media"
"20469","30/06/2020",12,2,27,"vulnerabilidad alta"
"20470","30/06/2020",3,0,3,"vulnerabilidad alta"
"20471","30/06/2020",0,0,0,"vulnerabilidad baja"
"20472","30/06/2020",2,0,4,"vulnerabilidad baja"
"20473","30/06/2020",0,0,0,"vulnerabilidad baja"
"20474","30/06/2020",0,0,1,"vulnerabilidad baja"
"20475","30/06/2020",1,1,3,"vulnerabilidad media"
"20476","30/06/2020",0,0,1,"vulnerabilidad alta"
"20477","30/06/2020",0,0,0,"vulnerabilidad media"
"20478","30/06/2020",0,0,0,"vulnerabilidad media"
"20479","30/06/2020",0,0,0,"vulnerabilidad media"
"20480","30/06/2020",0,0,0,"vulnerabilidad media"
"20481","30/06/2020",0,0,0,"vulnerabilidad alta"
"20482","30/06/2020",47,5,68,"vulnerabilidad alta"
"20483","30/06/2020",13,4,27,"vulnerabilidad media"
"20484","30/06/2020",2,1,5,"vulnerabilidad media"
"20485","30/06/2020",0,0,0,"vulnerabilidad media"
"20486","30/06/2020",0,0,0,"vulnerabilidad alta"
"20487","30/06/2020",0,0,0,"vulnerabilidad media"
"20488","30/06/2020",0,0,0,"vulnerabilidad baja"
"20489","30/06/2020",0,0,0,"vulnerabilidad media"
"20490","30/06/2020",0,0,0,"vulnerabilidad media"
"20491","30/06/2020",0,0,1,"vulnerabilidad media"
"20492","30/06/2020",1,0,2,"vulnerabilidad media"
"20493","30/06/2020",0,0,0,"vulnerabilidad baja"
"20494","30/06/2020",0,0,2,"vulnerabilidad media"
"20495","30/06/2020",0,0,0,"vulnerabilidad media"
"20496","30/06/2020",0,0,0,"vulnerabilidad media"
"20497","30/06/2020",0,0,1,"vulnerabilidad media"
"20498","30/06/2020",1,0,1,"vulnerabilidad media"
"20499","30/06/2020",2,0,4,"vulnerabilidad media"
"20500","30/06/2020",0,0,5,"vulnerabilidad media"
"20501","30/06/2020",0,0,0,"vulnerabilidad media"
"20502","30/06/2020",0,0,0,"vulnerabilidad media"
"20503","30/06/2020",0,0,0,"vulnerabilidad baja"
"20504","30/06/2020",0,0,0,"vulnerabilidad baja"
"20505","30/06/2020",3,2,6,"vulnerabilidad baja"
"20506","30/06/2020",0,0,0,"vulnerabilidad baja"
"20507","30/06/2020",0,0,0,"vulnerabilidad media"
"20508","30/06/2020",0,0,1,"vulnerabilidad baja"
"20509","30/06/2020",0,0,0,"vulnerabilidad media"
"20510","30/06/2020",0,0,0,"vulnerabilidad media"
"20511","30/06/2020",0,0,0,"vulnerabilidad media"
"20512","30/06/2020",0,0,0,"vulnerabilidad alta"
"20513","30/06/2020",0,0,0,"vulnerabilidad baja"
"20514","30/06/2020",0,0,0,"vulnerabilidad media"
"20515","30/06/2020",58,9,112,"vulnerabilidad baja"
"20516","30/06/2020",6,0,20,"vulnerabilidad baja"
"20517","30/06/2020",0,0,1,"vulnerabilidad alta"
"20518","30/06/2020",0,0,0,"vulnerabilidad alta"
"20519","30/06/2020",6,0,9,"vulnerabilidad alta"
"20520","30/06/2020",0,0,1,"vulnerabilidad media"
"20521","30/06/2020",0,0,0,"vulnerabilidad alta"
"20522","30/06/2020",0,0,0,"vulnerabilidad alta"
"20523","30/06/2020",2,0,2,"vulnerabilidad media"
"20524","30/06/2020",0,0,1,"vulnerabilidad baja"
"20525","30/06/2020",0,0,3,"vulnerabilidad media"
"20526","30/06/2020",15,1,21,"vulnerabilidad media"
"20527","30/06/2020",0,0,0,"vulnerabilidad media"
"20528","30/06/2020",0,0,0,"vulnerabilidad media"
"20529","30/06/2020",0,0,0,"vulnerabilidad alta"
"20530","30/06/2020",2,0,3,"vulnerabilidad media"
"20531","30/06/2020",1,0,6,"vulnerabilidad alta"
"20532","30/06/2020",0,0,0,"vulnerabilidad media"
"20533","30/06/2020",0,0,0,"vulnerabilidad media"
"20534","30/06/2020",6,0,8,"vulnerabilidad media"
"20535","30/06/2020",0,0,0,"vulnerabilidad media"
"20536","30/06/2020",0,0,0,"vulnerabilidad alta"
"20537","30/06/2020",1,0,5,"vulnerabilidad alta"
"20538","30/06/2020",0,0,0,"vulnerabilidad media"
"20539","30/06/2020",22,3,27,"vulnerabilidad muy alta"
"20540","30/06/2020",5,1,15,"vulnerabilidad media"
"20541","30/06/2020",0,0,0,"vulnerabilidad media"
"20542","30/06/2020",1,0,1,"vulnerabilidad media"
"20543","30/06/2020",0,0,0,"vulnerabilidad media"
"20544","30/06/2020",1,0,1,"vulnerabilidad baja"
"20545","30/06/2020",13,0,34,"vulnerabilidad baja"
"20546","30/06/2020",6,1,12,"vulnerabilidad alta"
"20547","30/06/2020",1,0,2,"vulnerabilidad baja"
"20548","30/06/2020",11,1,12,"vulnerabilidad media"
"20549","30/06/2020",1,0,6,"vulnerabilidad media"
"20550","30/06/2020",7,0,10,"vulnerabilidad alta"
"20551","30/06/2020",57,7,114,"vulnerabilidad media"
"20552","30/06/2020",0,0,0,"vulnerabilidad media"
"20553","30/06/2020",20,0,39,"vulnerabilidad alta"
"20554","30/06/2020",0,0,0,"vulnerabilidad media"
"20555","30/06/2020",7,0,10,"vulnerabilidad media"
"20556","30/06/2020",0,0,0,"vulnerabilidad media"
"20557","30/06/2020",10,2,17,"vulnerabilidad media"
"20558","30/06/2020",3,0,8,"vulnerabilidad media"
"20559","30/06/2020",12,0,25,"vulnerabilidad media"
"20560","30/06/2020",0,0,3,"vulnerabilidad alta"
"20561","30/06/2020",2,0,2,"vulnerabilidad media"
"20562","30/06/2020",0,0,1,"vulnerabilidad baja"
"20563","30/06/2020",0,0,0,"vulnerabilidad media"
"20564","30/06/2020",0,0,0,"vulnerabilidad media"
"20565","30/06/2020",118,9,190,"vulnerabilidad muy alta"
"20566","30/06/2020",0,0,2,"vulnerabilidad media"
"20567","30/06/2020",0,0,0,"vulnerabilidad media"
"20568","30/06/2020",0,0,0,"vulnerabilidad alta"
"20569","30/06/2020",1,0,1,"vulnerabilidad media"
"20570","30/06/2020",34,5,52,"vulnerabilidad alta"
"21001","30/06/2020",44,10,70,"vulnerabilidad muy alta"
"21002","30/06/2020",1,0,5,"vulnerabilidad alta"
"21003","30/06/2020",13,0,50,"vulnerabilidad media"
"21004","30/06/2020",36,6,71,"vulnerabilidad muy alta"
"21005","30/06/2020",3,3,4,"vulnerabilidad media"
"21006","30/06/2020",0,0,3,"vulnerabilidad media"
"21007","30/06/2020",1,0,3,"vulnerabilidad media"
"21008","30/06/2020",4,2,10,"vulnerabilidad media"
"21009","30/06/2020",1,1,3,"vulnerabilidad media"
"21010","30/06/2020",25,7,50,"vulnerabilidad media"
"21011","30/06/2020",0,0,0,"vulnerabilidad media"
"21012","30/06/2020",2,0,5,"vulnerabilidad media"
"21013","30/06/2020",15,5,35,"vulnerabilidad alta"
"21014","30/06/2020",0,0,1,"vulnerabilidad baja"
"21015","30/06/2020",105,16,192,"vulnerabilidad muy alta"
"21016","30/06/2020",2,0,2,"vulnerabilidad baja"
"21017","30/06/2020",10,3,16,"vulnerabilidad alta"
"21018","30/06/2020",1,1,2,"vulnerabilidad baja"
"21019","30/06/2020",139,22,471,"vulnerabilidad alta"
"21020","30/06/2020",3,1,4,"vulnerabilidad alta"
"21021","30/06/2020",0,0,2,"vulnerabilidad baja"
"21022","30/06/2020",3,2,10,"vulnerabilidad media"
"21023","30/06/2020",1,0,1,"vulnerabilidad alta"
"21024","30/06/2020",0,0,0,"vulnerabilidad alta"
"21025","30/06/2020",3,1,5,"vulnerabilidad baja"
"21026","30/06/2020",11,1,17,"vulnerabilidad media"
"21027","30/06/2020",2,2,3,"vulnerabilidad alta"
"21028","30/06/2020",0,0,0,"vulnerabilidad baja"
"21029","30/06/2020",0,0,1,"vulnerabilidad baja"
"21030","30/06/2020",0,0,2,"vulnerabilidad baja"
"21031","30/06/2020",0,0,3,"vulnerabilidad baja"
"21032","30/06/2020",3,0,3,"vulnerabilidad media"
"21033","30/06/2020",0,0,0,"vulnerabilidad media"
"21034","30/06/2020",30,8,85,"vulnerabilidad muy alta"
"21035","30/06/2020",6,0,32,"vulnerabilidad media"
"21036","30/06/2020",0,0,0,"vulnerabilidad media"
"21037","30/06/2020",4,1,5,"vulnerabilidad baja"
"21038","30/06/2020",8,1,16,"vulnerabilidad muy alta"
"21039","30/06/2020",1,0,1,"vulnerabilidad media"
"21040","30/06/2020",1,0,4,"vulnerabilidad alta"
"21041","30/06/2020",136,13,388,"vulnerabilidad media"
"21042","30/06/2020",0,0,0,"vulnerabilidad media"
"21043","30/06/2020",5,1,22,"vulnerabilidad media"
"21044","30/06/2020",4,3,10,"vulnerabilidad baja"
"21045","30/06/2020",37,5,83,"vulnerabilidad baja"
"21046","30/06/2020",4,0,7,"vulnerabilidad media"
"21047","30/06/2020",21,5,58,"vulnerabilidad baja"
"21048","30/06/2020",12,1,26,"vulnerabilidad media"
"21049","30/06/2020",0,0,2,"vulnerabilidad media"
"21050","30/06/2020",0,0,2,"vulnerabilidad media"
"21051","30/06/2020",16,2,47,"vulnerabilidad baja"
"21052","30/06/2020",0,0,2,"vulnerabilidad baja"
"21053","30/06/2020",39,4,103,"vulnerabilidad baja"
"21054","30/06/2020",4,1,9,"vulnerabilidad media"
"21055","30/06/2020",0,0,0,"vulnerabilidad media"
"21056","30/06/2020",1,1,1,"vulnerabilidad media"
"21057","30/06/2020",1,0,3,"vulnerabilidad media"
"21058","30/06/2020",5,4,10,"vulnerabilidad media"
"21059","30/06/2020",3,0,5,"vulnerabilidad media"
"21060","30/06/2020",3,2,9,"vulnerabilidad muy alta"
"21061","30/06/2020",0,0,0,"vulnerabilidad media"
"21062","30/06/2020",5,1,7,"vulnerabilidad media"
"21063","30/06/2020",10,1,15,"vulnerabilidad baja"
"21064","30/06/2020",1,0,2,"vulnerabilidad media"
"21065","30/06/2020",3,0,4,"vulnerabilidad media"
"21066","30/06/2020",0,0,1,"vulnerabilidad baja"
"21067","30/06/2020",16,3,21,"vulnerabilidad baja"
"21068","30/06/2020",1,0,2,"vulnerabilidad media"
"21069","30/06/2020",19,2,41,"vulnerabilidad media"
"21070","30/06/2020",3,0,4,"vulnerabilidad alta"
"21071","30/06/2020",135,22,321,"vulnerabilidad media"
"21072","30/06/2020",3,2,14,"vulnerabilidad alta"
"21073","30/06/2020",7,2,11,"vulnerabilidad baja"
"21074","30/06/2020",196,15,500,"vulnerabilidad media"
"21075","30/06/2020",3,1,4,"vulnerabilidad media"
"21076","30/06/2020",4,1,7,"vulnerabilidad media"
"21077","30/06/2020",2,0,3,"vulnerabilidad media"
"21078","30/06/2020",0,0,1,"vulnerabilidad baja"
"21079","30/06/2020",2,1,8,"vulnerabilidad alta"
"21080","30/06/2020",0,0,0,"vulnerabilidad baja"
"21081","30/06/2020",1,0,1,"vulnerabilidad media"
"21082","30/06/2020",6,0,17,"vulnerabilidad baja"
"21083","30/06/2020",4,0,11,"vulnerabilidad media"
"21084","30/06/2020",2,0,10,"vulnerabilidad muy alta"
"21085","30/06/2020",85,9,188,"vulnerabilidad media"
"21086","30/06/2020",3,1,4,"vulnerabilidad media"
"21087","30/06/2020",3,0,7,"vulnerabilidad baja"
"21088","30/06/2020",1,0,1,"vulnerabilidad baja"
"21089","30/06/2020",2,0,4,"vulnerabilidad media"
"21090","30/06/2020",21,1,50,"vulnerabilidad muy alta"
"21091","30/06/2020",12,1,24,"vulnerabilidad alta"
"21092","30/06/2020",0,0,1,"vulnerabilidad media"
"21093","30/06/2020",0,0,1,"vulnerabilidad baja"
"21094","30/06/2020",18,3,54,"vulnerabilidad baja"
"21095","30/06/2020",0,0,2,"vulnerabilidad baja"
"21096","30/06/2020",2,0,5,"vulnerabilidad baja"
"21097","30/06/2020",2,0,3,"vulnerabilidad media"
"21098","30/06/2020",4,2,8,"vulnerabilidad media"
"21099","30/06/2020",3,0,6,"vulnerabilidad media"
"21100","30/06/2020",6,2,13,"vulnerabilidad baja"
"21101","30/06/2020",2,1,2,"vulnerabilidad baja"
"21102","30/06/2020",5,2,8,"vulnerabilidad alta"
"21103","30/06/2020",1,0,2,"vulnerabilidad alta"
"21104","30/06/2020",17,4,28,"vulnerabilidad baja"
"21105","30/06/2020",0,0,3,"vulnerabilidad baja"
"21106","30/06/2020",54,11,145,"vulnerabilidad alta"
"21107","30/06/2020",2,0,4,"vulnerabilidad media"
"21108","30/06/2020",9,1,24,"vulnerabilidad baja"
"21109","30/06/2020",2,0,4,"vulnerabilidad baja"
"21110","30/06/2020",21,1,49,"vulnerabilidad media"
"21111","30/06/2020",2,0,3,"vulnerabilidad media"
"21112","30/06/2020",2,0,4,"vulnerabilidad baja"
"21113","30/06/2020",2,2,6,"vulnerabilidad media"
"21114","30/06/2020",6888,706,16567,"vulnerabilidad media"
"21115","30/06/2020",4,3,23,"vulnerabilidad media"
"21116","30/06/2020",3,0,5,"vulnerabilidad media"
"21117","30/06/2020",11,0,27,"vulnerabilidad media"
"21118","30/06/2020",17,6,33,"vulnerabilidad alta"
"21119","30/06/2020",323,40,854,"vulnerabilidad media"
"21120","30/06/2020",3,1,4,"vulnerabilidad baja"
"21121","30/06/2020",0,0,0,"vulnerabilidad alta"
"21122","30/06/2020",15,3,21,"vulnerabilidad media"
"21123","30/06/2020",1,1,1,"vulnerabilidad media"
"21124","30/06/2020",8,1,18,"vulnerabilidad media"
"21125","30/06/2020",7,1,18,"vulnerabilidad media"
"21126","30/06/2020",1,1,3,"vulnerabilidad alta"
"21127","30/06/2020",3,0,4,"vulnerabilidad alta"
"21128","30/06/2020",5,1,13,"vulnerabilidad baja"
"21129","30/06/2020",2,1,4,"vulnerabilidad baja"
"21130","30/06/2020",3,0,9,"vulnerabilidad media"
"21131","30/06/2020",0,0,1,"vulnerabilidad media"
"21132","30/06/2020",257,43,562,"vulnerabilidad media"
"21133","30/06/2020",0,0,0,"vulnerabilidad baja"
"21134","30/06/2020",20,3,33,"vulnerabilidad alta"
"21135","30/06/2020",2,1,3,"vulnerabilidad baja"
"21136","30/06/2020",7,1,27,"vulnerabilidad baja"
"21137","30/06/2020",6,1,15,"vulnerabilidad media"
"21138","30/06/2020",9,3,19,"No Disponible"
"21139","30/06/2020",1,0,4,"vulnerabilidad media"
"21140","30/06/2020",282,24,694,"vulnerabilidad media"
"21141","30/06/2020",1,1,2,"vulnerabilidad baja"
"21142","30/06/2020",32,4,79,"vulnerabilidad alta"
"21143","30/06/2020",33,9,62,"vulnerabilidad media"
"21144","30/06/2020",29,0,51,"vulnerabilidad muy alta"
"21145","30/06/2020",1,0,3,"vulnerabilidad media"
"21146","30/06/2020",0,0,3,"vulnerabilidad baja"
"21147","30/06/2020",2,1,3,"vulnerabilidad media"
"21148","30/06/2020",9,4,13,"vulnerabilidad media"
"21149","30/06/2020",5,1,15,"vulnerabilidad alta"
"21150","30/06/2020",0,0,1,"vulnerabilidad baja"
"21151","30/06/2020",7,1,8,"vulnerabilidad alta"
"21152","30/06/2020",8,2,13,"vulnerabilidad alta"
"21153","30/06/2020",29,4,52,"vulnerabilidad media"
"21154","30/06/2020",68,6,140,"vulnerabilidad alta"
"21155","30/06/2020",4,0,8,"vulnerabilidad media"
"21156","30/06/2020",378,64,958,"vulnerabilidad alta"
"21157","30/06/2020",7,0,16,"vulnerabilidad media"
"21158","30/06/2020",0,0,2,"vulnerabilidad media"
"21159","30/06/2020",0,0,0,"vulnerabilidad media"
"21160","30/06/2020",6,0,7,"vulnerabilidad baja"
"21161","30/06/2020",7,3,24,"vulnerabilidad baja"
"21162","30/06/2020",0,0,1,"vulnerabilidad media"
"21163","30/06/2020",18,1,30,"vulnerabilidad alta"
"21164","30/06/2020",126,13,209,"vulnerabilidad alta"
"21165","30/06/2020",0,0,0,"vulnerabilidad media"
"21166","30/06/2020",5,2,8,"vulnerabilidad media"
"21167","30/06/2020",1,0,2,"vulnerabilidad media"
"21168","30/06/2020",3,1,6,"vulnerabilidad media"
"21169","30/06/2020",28,1,53,"vulnerabilidad alta"
"21170","30/06/2020",8,0,13,"vulnerabilidad media"
"21171","30/06/2020",4,0,5,"vulnerabilidad media"
"21172","30/06/2020",13,0,24,"vulnerabilidad media"
"21173","30/06/2020",0,0,0,"vulnerabilidad media"
"21174","30/06/2020",32,3,121,"vulnerabilidad alta"
"21175","30/06/2020",2,0,8,"vulnerabilidad media"
"21176","30/06/2020",1,0,9,"vulnerabilidad baja"
"21177","30/06/2020",18,6,31,"vulnerabilidad alta"
"21178","30/06/2020",0,0,1,"vulnerabilidad media"
"21179","30/06/2020",31,10,53,"vulnerabilidad baja"
"21180","30/06/2020",21,5,35,"vulnerabilidad media"
"21181","30/06/2020",3,0,5,"vulnerabilidad alta"
"21182","30/06/2020",5,0,8,"vulnerabilidad alta"
"21183","30/06/2020",3,0,7,"vulnerabilidad media"
"21184","30/06/2020",0,0,1,"vulnerabilidad media"
"21185","30/06/2020",4,1,7,"vulnerabilidad media"
"21186","30/06/2020",11,1,30,"vulnerabilidad baja"
"21187","30/06/2020",1,1,2,"vulnerabilidad media"
"21188","30/06/2020",1,1,6,"vulnerabilidad media"
"21189","30/06/2020",21,3,35,"vulnerabilidad media"
"21190","30/06/2020",0,0,0,"vulnerabilidad media"
"21191","30/06/2020",18,2,28,"vulnerabilidad media"
"21192","30/06/2020",1,1,1,"vulnerabilidad baja"
"21193","30/06/2020",2,0,2,"vulnerabilidad media"
"21194","30/06/2020",8,3,14,"vulnerabilidad alta"
"21195","30/06/2020",0,0,1,"vulnerabilidad media"
"21196","30/06/2020",0,0,1,"vulnerabilidad baja"
"21197","30/06/2020",41,4,88,"vulnerabilidad media"
"21198","30/06/2020",0,0,0,"vulnerabilidad media"
"21199","30/06/2020",10,2,16,"vulnerabilidad media"
"21200","30/06/2020",1,0,1,"vulnerabilidad media"
"21201","30/06/2020",0,0,2,"vulnerabilidad baja"
"21202","30/06/2020",1,0,4,"vulnerabilidad media"
"21203","30/06/2020",0,0,1,"vulnerabilidad baja"
"21204","30/06/2020",3,0,7,"vulnerabilidad media"
"21205","30/06/2020",4,3,7,"vulnerabilidad alta"
"21206","30/06/2020",3,0,4,"vulnerabilidad media"
"21207","30/06/2020",26,4,66,"vulnerabilidad media"
"21208","30/06/2020",39,4,87,"vulnerabilidad baja"
"21209","30/06/2020",2,0,5,"vulnerabilidad alta"
"21210","30/06/2020",0,0,4,"vulnerabilidad baja"
"21211","30/06/2020",12,1,20,"vulnerabilidad alta"
"21212","30/06/2020",4,1,14,"vulnerabilidad media"
"21213","30/06/2020",2,0,5,"vulnerabilidad media"
"21214","30/06/2020",14,3,26,"vulnerabilidad media"
"21215","30/06/2020",0,0,0,"vulnerabilidad baja"
"21216","30/06/2020",0,0,1,"vulnerabilidad baja"
"21217","30/06/2020",2,1,2,"vulnerabilidad media"
"22001","30/06/2020",9,3,23,"vulnerabilidad media"
"22002","30/06/2020",4,0,23,"vulnerabilidad media"
"22003","30/06/2020",1,0,16,"vulnerabilidad media"
"22004","30/06/2020",26,6,67,"vulnerabilidad media"
"22005","30/06/2020",26,3,53,"vulnerabilidad baja"
"22006","30/06/2020",118,11,285,"vulnerabilidad baja"
"22007","30/06/2020",15,2,31,"vulnerabilidad media"
"22008","30/06/2020",11,3,23,"sin vulnerabilidad"
"22009","30/06/2020",16,0,100,"vulnerabilidad baja"
"22010","30/06/2020",0,0,5,"vulnerabilidad media"
"22011","30/06/2020",108,23,271,"vulnerabilidad baja"
"22012","30/06/2020",37,6,72,"vulnerabilidad baja"
"22013","30/06/2020",3,0,8,"vulnerabilidad media"
"22014","30/06/2020",1344,169,3073,"vulnerabilidad baja"
"22015","30/06/2020",1,0,7,"sin vulnerabilidad"
"22016","30/06/2020",210,25,478,"vulnerabilidad baja"
"22017","30/06/2020",30,7,66,"vulnerabilidad media"
"22018","30/06/2020",4,1,11,"vulnerabilidad media"
"23001","30/06/2020",95,17,205,"vulnerabilidad baja"
"23002","30/06/2020",41,7,132,"vulnerabilidad media"
"23003","30/06/2020",30,2,58,"vulnerabilidad media"
"23004","30/06/2020",593,33,1610,"vulnerabilidad baja"
"23005","30/06/2020",2183,438,3727,"vulnerabilidad alta"
"23006","30/06/2020",10,3,25,"vulnerabilidad media"
"23007","30/06/2020",43,5,85,"vulnerabilidad media"
"23008","30/06/2020",533,65,984,"vulnerabilidad media"
"23009","30/06/2020",59,4,112,"vulnerabilidad media"
"23010","30/06/2020",19,0,72,"vulnerabilidad baja"
"23011","30/06/2020",13,3,18,"No Disponible"
"24001","30/06/2020",4,0,18,"vulnerabilidad media"
"24002","30/06/2020",1,0,7,"vulnerabilidad media"
